page_url,file_name,file_url
https://www.python.org/downloads/windows,python-3.11.9-embed-arm64.zip,https://www.python.org/ftp/python/3.11.9/python-3.11.9-embed-arm64.zip
https://www.python.org/downloads/windows,python-3.11.8-embed-amd64.zip,https://www.python.org/ftp/python/3.11.8/python-3.11.8-embed-amd64.zip
https://www.python.org/downloads/windows,python-3.11.8-embed-win32.zip,https://www.python.org/ftp/python/3.11.8/python-3.11.8-embed-win32.zip
https://www.python.org/downloads/windows,python-3.11.8-embed-arm64.zip,https://www.python.org/ftp/python/3.11.8/python-3.11.8-embed-arm64.zip
https://www.python.org/downloads/windows,python-3.12.2-embed-amd64.zip,https://www.python.org/ftp/python/3.12.2/python-3.12.2-embed-amd64.zip
https://www.python.org/downloads/windows,python-3.12.2-embed-win32.zip,https://www.python.org/ftp/python/3.12.2/python-3.12.2-embed-win32.zip
https://www.python.org/downloads/windows,python-3.12.2-embed-arm64.zip,https://www.python.org/ftp/python/3.12.2/python-3.12.2-embed-arm64.zip
https://www.python.org/downloads/windows,python-3.12.1-embed-amd64.zip,https://www.python.org/ftp/python/3.12.1/python-3.12.1-embed-amd64.zip
https://www.python.org/downloads/windows,python-3.12.1-embed-win32.zip,https://www.python.org/ftp/python/3.12.1/python-3.12.1-embed-win32.zip
https://www.python.org/downloads/windows,python-3.12.1-embed-arm64.zip,https://www.python.org/ftp/python/3.12.1/python-3.12.1-embed-arm64.zip
https://www.python.org/downloads/windows,python-3.11.7-embed-amd64.zip,https://www.python.org/ftp/python/3.11.7/python-3.11.7-embed-amd64.zip
https://www.python.org/downloads/windows,python-3.11.7-embed-win32.zip,https://www.python.org/ftp/python/3.11.7/python-3.11.7-embed-win32.zip
https://www.python.org/downloads/windows,python-3.11.7-embed-arm64.zip,https://www.python.org/ftp/python/3.11.7/python-3.11.7-embed-arm64.zip
https://www.python.org/downloads/windows,python-3.12.0-embed-amd64.zip,https://www.python.org/ftp/python/3.12.0/python-3.12.0-embed-amd64.zip
https://www.python.org/downloads/windows,python-3.12.0-embed-win32.zip,https://www.python.org/ftp/python/3.12.0/python-3.12.0-embed-win32.zip
https://www.python.org/downloads/windows,python-3.12.0-embed-arm64.zip,https://www.python.org/ftp/python/3.12.0/python-3.12.0-embed-arm64.zip
https://www.python.org/downloads/windows,python-3.11.6-embed-amd64.zip,https://www.python.org/ftp/python/3.11.6/python-3.11.6-embed-amd64.zip
https://www.python.org/downloads/windows,python-3.11.6-embed-win32.zip,https://www.python.org/ftp/python/3.11.6/python-3.11.6-embed-win32.zip
https://www.python.org/downloads/windows,python-3.11.6-embed-arm64.zip,https://www.python.org/ftp/python/3.11.6/python-3.11.6-embed-arm64.zip
https://www.python.org/downloads/windows,python-3.11.5-embed-amd64.zip,https://www.python.org/ftp/python/3.11.5/python-3.11.5-embed-amd64.zip
https://www.python.org/downloads/windows,python-3.11.5-embed-win32.zip,https://www.python.org/ftp/python/3.11.5/python-3.11.5-embed-win32.zip
https://www.python.org/downloads/windows,python-3.11.5-embed-arm64.zip,https://www.python.org/ftp/python/3.11.5/python-3.11.5-embed-arm64.zip
https://www.python.org/downloads/windows,python-3.11.4-embed-amd64.zip,https://www.python.org/ftp/python/3.11.4/python-3.11.4-embed-amd64.zip
https://www.python.org/downloads/windows,python-3.11.4-embed-win32.zip,https://www.python.org/ftp/python/3.11.4/python-3.11.4-embed-win32.zip
https://www.python.org/downloads/windows,python-3.11.4-embed-arm64.zip,https://www.python.org/ftp/python/3.11.4/python-3.11.4-embed-arm64.zip
